award_date,project_number,award_amount,award_type
2023-02-16,1F31DK135375-01,47694,1
2023-01-31,1F31DK135378-01,47694,1
2024-02-08,1F31DK135386-01A1,47203,1
2023-02-16,1F31DK136196-01,47458,1
2024-01-31,1F31DK136313-01A1,41568,1
2024-02-01,1F31DK137452-01A1,33922,1
2024-02-14,1F31DK137574-01A1,42574,1
2024-01-25,1F31DK137584-01A1,38324,1
2024-02-14,1F31DK137600-01A1,48974,1
2024-02-09,1F31DK137613-01A1,35974,1
2023-11-15,1F31DK138546-01,48974,1
2024-02-16,1F31DK138714-01,34250,1
2024-02-08,1F31DK138741-01,42574,1
2024-02-14,1F31DK138743-01A1,48974,1
2024-02-01,1F31DK138763-01,35974,1
2023-11-15,1F31DK138777-01,42574,1
2023-11-22,1F31DK138780-01,46429,1
2024-12-03,1F31DK139601-01A1,40196,1
2024-02-16,1F31DK139619-01,34889,1
2024-11-25,1F31DK139621-01A1,43695,1
2025-01-09,1F31DK139684-01A1,40556,1
2024-02-07,1F31DK139728-01,42467,1
2024-02-06,1F31DK139736-01,44698,1
2024-02-06,1F31DK139757-01,48974,1
2024-12-05,1F31DK141239-01A1,43828,1
2024-12-19,1F31DK141268-01A1,48974,1
2024-12-24,1F31DK142297-01,35208,1
2024-12-17,1F31DK142351-01,40294,1
2024-11-19,1F31DK142470-01,48974,1
2024-12-24,1F31DK142531-01,48974,1
2021-12-28,1F31EB032745-01,40635,1
2024-01-25,1F31EB035917-01,48974,1
2024-12-02,1F31EB035931-01A1,48974,1
2021-12-06,1F31ES032316-01A1,28922,1
2021-12-21,1F31ES033919-01,37072,1
2022-02-08,1F31ES033925-01,39580,1
2023-01-11,1F31ES034256-01A1,41661,1
2023-01-23,1F31ES034304-01A1,39660,1
2022-12-20,1F31ES034938-01,37094,1
2023-02-01,1F31ES034957-01,32928,1
2023-02-01,1F31ES034985-01,43849,1
2024-01-15,1F31ES035299-01A1,27407,1
2024-01-19,1F31ES036099-01,46332,1
2024-02-09,1F31ES036102-01,44074,1
2024-12-11,1F31ES037182-01,48974,1
2024-12-11,1F31ES037211-01,48974,1
2022-01-10,1F31EY032789-01A1,46752,1
2022-01-31,1F31EY032793-01A1,31660,1
2022-01-20,1F31EY033636-01,39301,1
2022-01-21,1F31EY033646-01,42901,1
2022-01-21,1F31EY033656-01,46752,1
2023-01-24,1F31EY033660-01A1,47694,1
2022-01-10,1F31EY033661-01,42214,1
2022-12-06,1F31EY033663-01A1,22056,1
2022-01-27,1F31EY033667-01,39005,1
2022-02-03,1F31EY033691-01,46752,1
2023-01-11,1F31EY034793-01,35681,1
